LOK001,Park Kuźniczki,198,1194632,378552
LOK002,Plac Wybickiego,79,456856,65928
LOK003,Stacja SKM Wrzeszcz - Plac Kołodziejskiego,642,575032,84728
LOK004,Park Grodzisko,140,772448,214192
LOK005,Stacja SKM Oliwa,885,681944,143096
LOK006,Plac Dwóch Miast,32,780528,126488
LOK007,Dworzec PKS,1118,792312,147192
LOK008,Stacja PKP Gdańsk Główny,598,2784552,944016
LOK009,Park im. Reagana lok. III,52,577248,131936
LOK010,Przystań Żabi Kruk,50,1491448,232736
LOK011,Przystań Sienna Grobla,17,15928,2944
LOK012,Przystań Tamka,13,375032,92784
LOK013,Przystań Nadwiślańska,25,197008,45144
LOK014,Nowy Port CAE Łaźnia 2,93,443760,71992
LOK015,Skwer ul. Marynarki Polskiej,137,7486208,940288
LOK016,Reduta Wilk,2,12232,2088
LOK017,Zieleniec przy ul. Jałmużniczej,119,12389128,2273136
LOK018,Park de Gaulle'a,314,5717312,1008968
LOK019,Park ks. Kanonika Orkusza,53,1207688,212456
LOK020,Brzeźno Molo,424,13698488,2407976
LOK021,Targ Węglowy,742,18400416,3358576
LOK022,Plac Zebrań Ludowych,50,3489968,1796528
LOK023,Plaża Jelitkowo,308,4941736,1786096
LOK024,Plaża Brzeźno I,5,1066800,575408
LOK025,Park Brzeźnieński im. Haffnera,44,174376,110000
LOK026,Plaża Stogi,128,216480,73656
LOK027,Plaża Wyspa Sobieszewska,221,1160,376
LOK028,Park Oliwski,274,7181216,1247800
LOK029,Park im. Reagana lok. I,60,278824,130648
LOK030,Park im. Jana Pawła II,24,181232,68608
LOK031,Park Millenium Gdańska,343,334898200,54919184
LOK032,Park Akademicki,573,242232,85624
LOK033,Park im. Steffena,322,1008648,484144
LOK034,Park Opływu Motławy,3,12216,2088
LOK035,Park Oruński,35,22600,6400
LOK036,Akademia Wychowania Fizycznego i Sportu,79,27195144,1707488
LOK037,Piwna,340,236848,95000
LOK038,UMG Medyk,81,11373240,2350504
LOK039,ZOO Oliwa,59,785960,194336
LOK040,Twierdza Wisłoujście,34,7062232,1023928
LOK041,Pomnik Poległych Stoczniowców,68,17704,8848
LOK042,Góra Gradowa,85,488408,144904
LOK043,Skwer przed Krewetką,648,4225032,1365840
LOK044,Zieleniec Heweliusza,180,7752954,1695292
LOK045,Skwer Czesława Niemena,289,8399033,1836567
LOK046,Park Hucisko,491,290968,100032
LOK047,Targ Drzewny,218,91680,29552
LOK048,Brama Wyżynna,784,11676248,2022768
LOK049,Dom Harcerza,10,116352,37672
LOK050,Długa i Długi Targ,1460,1293864,500032
LOK051,Szeroka I,161,8719752,1615568
LOK052,Park im. Reagana lok. II,22,154128,45056
LOK053,Grobla,178,8719752,1615568
LOK054,Bazylika Mariacka,168,8328512,940864
LOK055,Szeroka II,199,8719808,1615592
LOK056,Mariacka,335,1908544,650888
LOK057,Św. Ducha,160,17006984,2827600
LOK058,Stągiewna,149,582280,297456
LOK059,Długie Pobrzeże,183,582280,297456
LOK060,Rybackie Pobrzeże,385,12275120,1441072
LOK061,Skwer przy Polskiej Filharmonii Bałtyckiej,147,21653360,2173664
LOK062,Skwer przy Muzeum Narodowym,79,44272,16792
LOK063,Deptak - Żabianka,74,878744,110792
LOK064,Westerplatte,174,138928,61608
LOK065,Skwer przy Stadionie Energa,65,922672,113088
LOK066,Skwer przy ul. Gościnnej,214,5543912,897944
LOK067,Skwer przy ul. Wodopój,120,672,3888
LOK068,Długie Pobrzeże - Brama Św. Ducha,168,582280,297456
LOK069,Marina Szafarnia,14,312576,43032
LOK070,Park Przymorze,20,840248,133016
LOK071,Plaża Brzeźno II,76,1252488,330384
LOK072,Stacja SKM - Gdańsk Politechnika,459,279440,65400
LOK073,Zieleniec przy al. Hallera,62,583888,266440
LOK074,Zieleniec przy ul. Bohomolca,19,331600,52504
LOK075,Zieleniec przy ul. Buczka,68,968200,308112
LOK076,Zieleniec przy ul. Pomorskiej,91,1367120,236016
LOK077,Zieleniec przy ul. Wilanowskiej,31,801088,171048
LOK078,Zieleniec Piecki-Migowo,17,140912,66336
LOK079,Skwer przy al. Żołnierzy Wyklętych,120,865200,279384
LOK080,Skwer przy ul. Siennickiej,16,2190424,290592
LOK081,Skwer przy ul. Żeromskiego,16,17400,11128
LOK082,Latarnia Morska w Nowym Porcie,46,62936,12160
LOK083,Aktiv Park Przymorze,10,754328,321450
LOK084,Skatepark Osowa,100,4155968,899888
LOK085,Plac Biskupa O'Rourke.,36,27311120,472512
LOK086,Plac gen. Maczka,68,9281000,1488864
LOK087,Plac Piłsudzkiego,117,331656,122088
LOK088,Park w Jasieniu,46,20202768,3384912
LOK089,Park przy ul. Chirona,28,610504,173240
LOK090,Park przy ul. Bliźniąt,19,8612112,1102576
LOK091,Park nad Strzyżą,51,601200,102192
LOK092,Park Zielony,381,447136,73792
LOK093,Park Siennicki,135,10541424,1784680
LOK094,Park Bema,79,10147688,1497616
LOK095,Park w Królewskiej Dolinie,22,1062056,208256
LOK096,Park Uphagena,76,553576,135216
LOK097,Park Jaśkowej Doliny,40,335704,168384
LOK098,Wzgórze Pachołek,25,171160,85608
LOK099,Stacja Strzyża,232,13672104,1432960
LOK100,Stacja SKM Żabianka-AWFiS,708,9349440,2262976
